Date,ZLFund,S&P 500 (Adj)
11/28/14,100,100
12/5/14,100.02,100.38
12/12/14,99.9,96.85
12/19/14,100.01,100.15
12/26/14,100.1,101.03
12/31/14,100.07,99.58
1/2/15,100.08,99.55
1/9/15,100.16,98.9
1/16/15,100.15,97.67
1/23/15,100.64,99.24
1/31/15,99.92,96.49
2/6/15,100.49,99.42
2/13/15,100.98,101.42
2/20/15,101.08,102.07
2/28/15,101.01,101.79
3/6/15,100.26,100.18
3/13/15,100.24,99.32
3/20/15,101.6,101.96
3/27/15,100.81,99.68
3/31/15,101.37,100.02
4/2/15,101.57,99.97
4/10/15,102.34,101.67
4/17/15,101.85,100.66
4/24/15,102.77,102.42
4/30/15,101.96,100.87
5/1/15,102.27,101.97
5/8/15,102.32,102.35
5/15/15,102.65,102.67
5/22/15,102.99,102.83
5/31/15,102.34,101.93
6/5/15,102.06,101.22
6/12/15,102.29,101.28
6/19/15,102.03,102.05
6/26/15,101.27,101.65
6/30/15,100.72,99.78
7/2/15,100.71,100.45
7/10/15,100.44,100.44
7/17/15,101.12,102.86
7/24/15,100.39,100.58
7/31/15,100.75,101.75
8/7/15,100.43,100.48
8/14/15,100.78,101.16
8/21/15,95.73,95.32
8/28/15,90.17,96.19
8/31/15,90.96,95.39
9/4/15,89.67,92.92
9/11/15,90.89,94.85
9/18/15,91.07,94.7
9/25/15,90.24,93.41
9/30/15,90.51,92.86
10/2/15,91.29,94.38
10/9/15,92.83,97.45
10/16/15,93.21,98.33
10/23/15,93.81,100.37
10/31/15,93.51,100.57
11/6/15,93.94,101.53
11/13/15,92.35,97.85
11/20/15,93.85,101.05
11/27/15,93.75,101.09
11/30/15,93.68,100.62
12/4/15,93.67,101.17
12/11/15,91.66,97.33
12/18/15,91.89,97
12/24/15,92.96,99.68
12/31/15,92.94,98.86
1/8/16,89.99,92.96
1/15/16,88.66,90.94
1/22/16,89.62,92.23
1/31/16,90.58,93.84
2/5/16,89.22,90.93
2/12/16,88.55,90.19
2/19/16,90.32,92.76
2/26/16,91.01,94.22
2/29/16,90.77,93.45
3/4/16,93.19,96.73
3/11/16,93.85,97.81
3/18/16,94.76,99.13
3/25/16,94.06,98.47
3/31/16,95.21,99.62
4/1/16,95.29,100.25
4/8/16,94.78,99.03
4/15/16,95.95,100.64
4/22/16,96.18,101.16
4/30/16,95.73,99.89
5/6/16,95.42,99.5
