Date,ZLFund BMF
1/18/2017,100.00
1/19/2017,100.53
1/20/2017,100.57
1/21/2017,100.75
1/22/2017,100.99
1/23/2017,101.06
1/24/2017,101.09
1/25/2017,101.19
1/26/2017,101.23
1/27/2017,101.27
1/28/2017,101.30
1/29/2017,101.34
1/30/2017,101.38
1/31/2017,101.41
2/1/2017,101.45
2/2/2017,101.49
2/3/2017,101.53
2/4/2017,101.57
2/5/2017,101.61
2/6/2017,101.64
2/7/2017,101.68
2/8/2017,101.71
2/9/2017,101.74
2/10/2017,101.77
2/11/2017,101.80
2/12/2017,101.82
2/13/2017,101.97
2/14/2017,102.00
2/15/2017,102.02
2/16/2017,102.04
2/17/2017,102.07
2/18/2017,102.09
2/19/2017,102.12
2/20/2017,102.14
2/21/2017,102.16
2/22/2017,102.18
2/23/2017,102.21
2/24/2017,102.23
2/25/2017,102.26
2/26/2017,102.30
2/27/2017,102.35
2/28/2017,102.40
3/1/2017,102.44
3/2/2017,102.49
3/3/2017,102.53
3/4/2017,102.58
3/5/2017,102.63
3/6/2017,102.67
3/7/2017,102.71
3/8/2017,102.75
3/9/2017,102.79
3/10/2017,102.83
3/11/2017,102.87
3/12/2017,102.91
3/13/2017,102.94
3/14/2017,102.98
3/15/2017,103.01
3/16/2017,103.03
3/17/2017,103.06
3/18/2017,103.09
3/19/2017,103.12
3/20/2017,103.15
3/21/2017,103.18
3/22/2017,103.21
3/23/2017,103.24
3/24/2017,103.26
3/25/2017,103.29
3/26/2017,103.32
3/27/2017,103.36
3/28/2017,103.40
3/29/2017,103.43
3/30/2017,103.47
3/31/2017,103.50
4/1/2017,103.53
4/2/2017,103.56
4/3/2017,103.58
4/4/2017,103.61
4/5/2017,103.63
4/6/2017,103.65
4/7/2017,103.67
4/8/2017,103.69
4/9/2017,103.71
4/10/2017,103.73
4/11/2017,103.75
4/12/2017,103.77
4/13/2017,103.78
4/14/2017,103.80
4/15/2017,103.82
4/16/2017,103.84
4/17/2017,103.85
4/18/2017,103.87
4/19/2017,103.89
4/20/2017,103.90
4/21/2017,103.91
