Date,Price,Yield_MA7
1/18/2017,100.00,
1/19/2017,100.53,
1/20/2017,100.57,
1/21/2017,100.75,
1/22/2017,100.99,
1/23/2017,101.06,
1/24/2017,101.09,
1/25/2017,101.19,0.85
1/26/2017,101.23,0.43
1/27/2017,101.27,0.43
1/28/2017,101.30,0.33
1/29/2017,101.34,0.20
1/30/2017,101.38,0.18
1/31/2017,101.41,0.18
2/1/2017,101.45,0.14
2/2/2017,101.49,0.15
2/3/2017,101.53,0.15
2/4/2017,101.57,0.15
2/5/2017,101.61,0.15
2/6/2017,101.64,0.14
2/7/2017,101.68,0.15
2/8/2017,101.71,0.14
2/9/2017,101.74,0.14
2/10/2017,101.77,0.13
2/11/2017,101.80,0.12
2/12/2017,101.82,0.12
2/13/2017,101.97,0.18
2/14/2017,102.00,0.18
2/15/2017,102.02,0.17
2/16/2017,102.04,0.17
2/17/2017,102.07,0.17
2/18/2017,102.09,0.16
2/19/2017,102.12,0.16
2/20/2017,102.14,0.09
2/21/2017,102.16,0.09
2/22/2017,102.18,0.09
2/23/2017,102.21,0.09
2/24/2017,102.23,0.09
2/25/2017,102.26,0.09
2/26/2017,102.30,0.10
2/27/2017,102.35,0.11
2/28/2017,102.40,0.13
3/1/2017,102.44,0.14
3/2/2017,102.49,0.15
3/3/2017,102.53,0.17
3/4/2017,102.58,0.18
3/5/2017,102.63,0.18
3/6/2017,102.67,0.18
3/7/2017,102.71,0.17
3/8/2017,102.75,0.17
3/9/2017,102.79,0.17
3/10/2017,102.83,0.16
3/11/2017,102.87,0.16
3/12/2017,102.91,0.15
3/13/2017,102.94,0.15
3/14/2017,102.98,0.14
3/15/2017,103.01,0.14
3/16/2017,103.03,0.13
3/17/2017,103.06,0.13
3/18/2017,103.09,0.12
3/19/2017,103.12,0.11
3/20/2017,103.15,0.11
3/21/2017,103.18,0.11
3/22/2017,103.21,0.11
3/23/2017,103.24,0.11
3/24/2017,103.26,0.11
3/25/2017,103.29,0.10
3/26/2017,103.32,0.11
3/27/2017,103.36,0.11
3/28/2017,103.40,0.12
