Date,Price
2017-01-18,100.00
2017-01-19,100.53
2017-01-20,100.57
2017-01-21,100.75
2017-01-22,100.99
2017-01-23,101.06
2017-01-24,101.09
2017-01-25,101.19
2017-01-26,101.23
2017-01-27,101.27
2017-01-28,101.30
2017-01-29,101.34
2017-01-30,101.38
2017-01-31,101.41
2017-02-01,101.45
2017-02-02,101.49
2017-02-03,101.53
2017-02-04,101.57
2017-02-05,101.61
2017-02-06,101.64
2017-02-07,101.68
2017-02-08,101.71
2017-02-09,101.74
2017-02-10,101.77
2017-02-11,101.80
2017-02-12,101.82
2017-02-13,101.97
2017-02-14,102.00
2017-02-15,102.02
2017-02-16,102.04
2017-02-17,102.07
2017-02-18,102.09
2017-02-19,102.12
2017-02-20,102.14
2017-02-21,102.16
2017-02-22,102.18
2017-02-23,102.21
2017-02-24,102.23
2017-02-25,102.26
2017-02-26,102.30
2017-02-27,102.35
2017-02-28,102.40
2017-03-01,102.44
2017-03-02,102.49
2017-03-03,102.53
2017-03-04,102.58
2017-03-05,102.63
2017-03-06,102.67
2017-03-07,102.71
2017-03-08,102.75
2017-03-09,102.79
2017-03-10,102.83
2017-03-11,102.87
2017-03-12,102.91
2017-03-13,102.94
2017-03-14,102.98
2017-03-15,103.01
2017-03-16,103.03
2017-03-17,103.06
2017-03-18,103.09
2017-03-19,103.12
2017-03-20,103.15
2017-03-21,103.18
2017-03-22,103.21
2017-03-23,103.24
2017-03-24,103.26
2017-03-25,103.29
2017-03-26,103.32
2017-03-27,103.36
2017-03-28,103.40
2017-03-29,103.43
2017-03-30,103.47
2017-03-31,103.50
2017-04-01,103.53
2017-04-02,103.56
2017-04-03,103.58
2017-04-04,103.61
2017-04-05,103.63
2017-04-06,103.65
2017-04-07,103.67
2017-04-08,103.69
2017-04-09,103.71
2017-04-10,103.73
2017-04-11,103.75
2017-04-12,103.77
2017-04-13,103.78
2017-04-14,103.80
2017-04-15,103.82
2017-04-16,103.84
2017-04-17,103.85
2017-04-18,103.87
2017-04-19,103.89
2017-04-20,103.90
2017-04-21,103.91
2017-04-22,103.92
2017-04-23,103.93
2017-04-24,103.95
2017-04-25,103.96
2017-04-26,103.97
2017-04-27,103.99
2017-04-28,104.00
2017-04-29,104.01
2017-04-30,104.03
2017-05-01,104.04
2017-05-02,104.05
2017-05-03,104.07
2017-05-04,104.08
2017-05-05,104.11
2017-05-06,104.17
2017-05-07,104.26
2017-05-08,104.33
2017-05-09,104.38
2017-05-10,104.43
2017-05-11,104.48
2017-05-12,104.52
2017-05-13,104.58
2017-05-14,104.65
2017-05-15,104.74
2017-05-16,104.83
2017-05-17,104.91
2017-05-18,104.98
2017-05-19,105.07
2017-05-20,105.19
2017-05-21,105.35
2017-05-22,105.50
2017-05-23,105.67
2017-05-24,105.87
2017-05-25,106.12
2017-05-26,106.40
2017-05-27,106.65
2017-05-28,106.86
2017-05-29,107.07
2017-05-30,107.27
2017-05-31,107.46
2017-06-01,107.64
2017-06-02,107.81
2017-06-03,107.99
2017-06-04,108.17
2017-06-05,108.34
2017-06-06,108.52
2017-06-07,108.69
2017-06-08,108.86
2017-06-09,109.03
2017-06-10,109.19
2017-06-11,109.36
2017-06-12,109.52
2017-06-13,109.68
2017-06-14,109.84
2017-06-15,110.00
2017-06-16,110.15
2017-06-17,110.28
2017-06-18,110.41
2017-06-19,110.54
2017-06-20,110.65
2017-06-21,110.75
2017-06-22,110.82
2017-06-23,110.91
2017-06-24,110.99
2017-06-25,111.09
2017-06-26,111.17
2017-06-27,111.20
2017-06-28,111.26
2017-06-29,111.33
2017-06-30,111.40
2017-07-01,111.45
2017-07-02,111.50
2017-07-03,111.53
2017-07-04,111.57
2017-07-05,111.60
2017-07-06,111.64
2017-07-07,111.68
2017-07-08,111.71
2017-07-09,111.75
2017-07-10,111.79
2017-07-11,111.83
2017-07-12,111.86
2017-07-13,111.89
2017-07-14,111.91
2017-07-15,111.93
2017-07-16,111.96
2017-07-17,111.98
2017-07-18,112.01
2017-07-19,112.03
2017-07-20,112.06
2017-07-21,112.10
2017-07-22,112.14
2017-07-23,112.24
2017-07-24,112.35
